record_id,timestamp,service_date,service_week,day_type,time_of_day,mode,route,direction,stop_id,trip_id,status,delay_sec,headway_min,passengers_on,passengers_off
495,2025-01-06 00:06:10,2025-01-06,2,Weekday,Night,bus,B12,NB,STOP563,B12-20250106-0006-4,late,228,9.4,2,5
450,2025-01-06 02:58:22,2025-01-06,2,Weekday,Night,bus,B99,WB,STOP202,B99-20250106-0258-2,on_time,-6,10.1,5,2
158,2025-01-06 05:57:27,2025-01-06,2,Weekday,EarlyAM,bus,B12,EB,STOP553,B12-20250106-0557-1,late,241,17.8,1,3
246,2025-01-06 08:48:29,2025-01-06,2,Weekday,AM Peak,bus,B10,WB,STOP777,B10-20250106-0848-4,on_time,42,16.2,3,6
279,2025-01-06 15:11:50,2025-01-06,2,Weekday,PM Peak,bus,B12,NB,STOP663,B12-20250106-1511-1,early,-129,5.4,6,1
137,2025-01-06 15:19:07,2025-01-06,2,Weekday,PM Peak,bus,B10,NB,STOP285,B10-20250106-1519-2,on_time,-25,5.1,5,3
411,2025-01-06 17:08:40,2025-01-06,2,Weekday,PM Peak,bus,B52,WB,STOP390,B52-20250106-1708-4,late,62,14.8,2,6
494,2025-01-06 17:09:39,2025-01-06,2,Weekday,PM Peak,bus,B99,EB,STOP492,B99-20250106-1709-2,late,157,11.1,4,4
210,2025-01-06 17:59:49,2025-01-06,2,Weekday,PM Peak,train,T5,Outbound,STN50,T5-20250106-1759-3,early,-149,3.5,20,24
192,2025-01-06 19:47:54,2025-01-06,2,Weekday,Evening,train,T5,Inbound,STN166,T5-20250106-1947-3,late,112,14.2,12,13
119,2025-01-06 22:50:05,2025-01-06,2,Weekday,Evening,train,T3,Inbound,STN127,T3-20250106-2250-2,late,278,14.9,9,10
373,2025-01-07 00:42:47,2025-01-07,2,Weekday,Night,train,T5,Inbound,STN136,T5-20250107-0042-4,early,-82,6.0,12,14
368,2025-01-07 08:41:55,2025-01-07,2,Weekday,AM Peak,bus,B21,NB,STOP890,B21-20250107-0841-4,on_time,54,10.8,8,2
